game_duration,player1_champion,player1_kills,player1_deaths,player1_assists,player1_gold,player1_experience,player1_damage_dealt,player1_damage_taken,player1_creep_score,player1_wards,player2_champion,player2_kills,player2_deaths,player2_assists,player2_gold,player2_experience,player2_damage_dealt,player2_damage_taken,player2_creep_score,player2_wards,player3_champion,player3_kills,player3_deaths,player3_assists,player3_gold,player3_experience,player3_damage_dealt,player3_damage_taken,player3_creep_score,player3_wards,player4_champion,player4_kills,player4_deaths,player4_assists,player4_gold,player4_experience,player4_damage_dealt,player4_damage_taken,player4_creep_score,player4_wards,player5_champion,player5_kills,player5_deaths,player5_assists,player5_gold,player5_experience,player5_damage_dealt,player5_damage_taken,player5_creep_score,player5_wards,player6_champion,player6_kills,player6_deaths,player6_assists,player6_gold,player6_experience,player6_damage_dealt,player6_damage_taken,player6_creep_score,player6_wards,player7_champion,player7_kills,player7_deaths,player7_assists,player7_gold,player7_experience,player7_damage_dealt,player7_damage_taken,player7_creep_score,player7_wards,player8_champion,player8_kills,player8_deaths,player8_assists,player8_gold,player8_experience,player8_damage_dealt,player8_damage_taken,player8_creep_score,player8_wards,player9_champion,player9_kills,player9_deaths,player9_assists,player9_gold,player9_experience,player9_damage_dealt,player9_damage_taken,player9_creep_score,player9_wards,player10_champion,player10_kills,player10_deaths,player10_assists,player10_gold,player10_experience,player10_damage_dealt,player10_damage_taken,player10_creep_score,player10_wards,team1_turret_plates,team1_turrets,team1_dragons,team1_grubs,team2_turret_plates,team2_turrets,team2_dragons,team2_grubs,Winning team
1747,48,1,3,2,5832,7371,7418,8977,110,5,200,8,4,2,7018,5603,10421,14015,75,3,84,4,1,2,5702,7815,10039,10545,98,4,895,1,4,2,5773,5160,6309,9143,95,2,75,3,3,5,6760,6194,7251,9154,42,5,127,0,3,3,4877,6818,7572,10074,101,5,131,1,4,5,4933,5675,4681,13980,90,3,420,4,1,0,6979,8868,9359,9920,119,55,29,9,6,3,7446,4459,12496,13880,59,4,350,1,3,10,4467,4502,5176,5223,12,7,11,4,1,1,8,1,1,5,0
2094,420,4,3,1,6160,8076,8757,10969,110,52,20,2,3,8,5442,6425,6466,15460,84,4,99,5,3,1,5691,7277,6195,8140,91,2,145,8,3,3,7074,5201,8579,9098,107,5,555,0,3,10,4495,4553,4937,8197,20,9,2,2,5,1,4664,6330,8798,12306,76,0,131,4,3,0,6044,6548,4041,12373,108,3,7,2,3,5,5384,6215,9113,9681,93,4,29,7,6,2,7467,5264,11972,12234,78,5,350,0,2,9,4387,4875,4663,2832,12,13,7,0,1,0,8,1,1,6,0
1261,82,1,4,1,4372,6144,5791,10775,78,6,33,2,2,4,5820,5970,4156,12441,85,1,246,6,5,0,5809,6131,6120,9664,75,4,145,6,6,5,6758,5258,9574,9866,96,4,40,2,3,7,4754,5032,4006,9084,9,8,122,2,2,2,5756,7232,9018,7915,98,5,19,6,6,5,6742,5816,7876,15899,90,334,105,5,1,4,6820,7145,7641,6475,98,8,29,6,4,4,7538,5430,10648,9447,114,4,350,1,4,8,4047,4891,4324,3956,9,13,4,0,0,3,9,1,1,3,0
1829,19,1,2,2,4703,6570,6457,13498,102,264,104,3,6,6,6855,5966,8908,15955,75,2,103,2,4,2,5099,7480,7064,9009,104,2,145,8,3,3,7065,5889,9461,9025,101,4,201,2,4,8,4529,5192,6671,14498,18,9,98,1,1,3,4660,7629,7074,9291,88,71,120,7,2,5,7554,7288,8936,19150,100,5,99,7,3,3,6595,7229,12599,8923,92,5,360,3,7,1,5626,5285,11649,11378,105,4,89,1,3,5,4424,4784,6258,10601,20,11,3,1,1,1,5,0,1,5,1
1869,19,1,3,1,4225,5866,8013,12965,80,344,876,2,1,2,5211,5568,6565,18069,96,3,74,0,1,0,4763,7620,5913,3652,106,5,202,4,0,2,6590,5865,4945,3763,117,21,161,1,3,5,4397,4129,9522,5934,18,8,223,1,1,1,5330,8322,9450,11503,128,3,234,1,2,0,4555,5488,1644,15144,85,4,45,1,0,2,5034,7721,3035,6279,112,3,21,3,4,0,4716,4990,5615,8439,83,3,111,2,1,3,4311,4240,5094,9408,11,15,8,1,2,3,2,0,0,3,1
1801,8,3,1,1,5848,7434,5755,9075,112,3,104,0,2,3,5388,6073,4331,11992,110,6,777,3,2,0,6180,7620,7593,9367,126,4,498,5,2,2,6175,5873,8233,7846,85,4,888,0,5,4,3712,3727,5164,9052,17,14,79,2,2,0,4951,7314,4985,9300,85,6,35,1,3,5,5170,5242,4348,11947,79,2,84,5,2,1,5560,6733,10146,9374,98,7,22,2,2,3,6362,5443,7074,5595,120,5,43,2,2,3,4613,4517,5791,6410,25,7,7,1,1,3,7,1,1,3,1
2562,950,1,3,1,4133,5907,5103,6443,70,5,131,3,5,4,6192,5570,8086,14601,91,6,238,1,2,3,4970,6478,6678,7271,82,4,202,7,3,1,6605,5591,8185,6765,88,14,43,0,4,7,4118,3799,6073,7963,13,15,58,2,1,2,5090,8152,5629,9005,98,5,19,3,3,5,5908,6156,6359,17194,88,386,84,8,1,1,7280,6812,9201,7537,89,4,51,1,4,4,4296,4331,7145,7560,65,3,555,1,3,2,3905,4366,1811,8276,11,5,6,1,1,1,3,0,1,5,1
2318,74,1,3,1,5089,7754,12688,7532,104,5,121,5,3,1,6366,5821,5567,15789,82,7,8,2,1,3,6188,7383,8905,9004,106,4,119,2,2,4,5535,5560,4607,7180,85,2,111,4,4,5,5310,4598,3288,8667,25,9,31,2,2,0,5122,9144,4076,13837,94,3,245,2,2,1,5019,5423,1695,13146,76,4,55,3,2,0,4567,5939,7375,10266,71,2,51,2,4,6,5616,5129,9750,7285,83,3,161,4,4,4,5720,5198,8562,5448,40,10,7,1,0,3,6,1,1,0,1
1849,80,2,2,1,4998,7167,9131,7746,108,4,72,3,1,2,6285,6740,3586,14164,106,1,157,1,1,2,5925,7848,7393,9173,131,8,145,5,4,2,6731,6039,9253,9451,112,5,555,2,4,4,5292,4005,3264,7193,25,9,897,2,1,0,5516,8715,5268,8667,113,5,77,2,1,4,5750,6567,4717,14387,107,0,112,1,3,1,5188,7248,6257,8565,120,4,51,5,4,2,6040,5716,8619,7968,88,7,147,2,4,7,4498,4257,5576,5282,11,9,8,1,0,6,6,0,2,0,0
1410,24,0,2,1,4278,7101,9364,11171,97,1,233,2,5,3,5261,5510,6726,16482,88,3,112,3,0,1,5588,8423,8089,5584,123,3,119,1,2,1,5284,5141,4117,9515,113,0,267,1,2,3,3733,4192,3667,5447,19,10,86,3,1,0,5796,8486,8369,11784,121,4,56,1,0,2,5529,7632,3771,19237,134,3,893,3,2,2,5405,6916,5540,8625,104,6,523,3,3,4,5978,5503,9161,7402,108,4,26,1,1,6,4533,5840,7313,5501,26,11,1,0,0,0,5,1,2,6,0
